Report_ID,Date,Location,Department,Category_Tag,Ground_Truth_Severity,Report_Text
CD261FDE-D,2025-05-15,Breakroom,Quality Assurance,Minor Slip/Trip,Ordinary,"While operating the equipment, the welcome floor mat in the hallway was slightly bunched up at the corner. Someone might stub their toe if they aren't looking. No action taken, just reporting it for the record."
4F852D49-F,2025-08-07,Breakroom,Facilities,Minor Maintenance,Ordinary,Walking the perimeter the yellow paint on the pedestrian walkway lines is starting to fade.
2B4C56F8-9,2026-02-14,Warehouse A,Quality Assurance,Chemical/Hazmat,Critical,"Responding to a strange noise, three unlabelled, visibly bulging steel drums were left sitting out in the hot sun. This is a serious precursor to a catastrophic mechanical failure."
2DB8AD2A-C,2025-09-21,Hallway C,Manufacturing,Housekeeping,Ordinary,"while conducting the monthly audit, the whiteboard in the meeting room wasn't erased after the morning huddle purely a cosmetic issue, but worth logging sent a quick email to facilities about it"
06198253-D,2026-06-30,Warehouse B,R&D,Housekeeping,Ordinary,"Just before heading home, someone left their empty coffee cups on the shared workstation. Looks a bit untidy and unprofessional. Wiped it up with a paper towel on my way past."
0FC4EB0B-F,2025-08-11,Production Line 3,Quality Assurance,Uncategorized,Ordinary,"While operating teh equipment, a few drops of water were on teh floor near teh breakroom sink. Someone might stub tehir toe if tehy aren't looking. Reminded tehm politely to fix it next time."
D22F1027-9,2024-11-30,Paint Shop,Health & Safety (EHS),Behavioral,Ordinary,"at the start of the morning shift, people were talking quite loudly near the designated quiet zone. looks a bit untidy and unprofessional. put in a low-priority work order in the system."
749A4444-D,2024-08-03,Main Office,Engineering,Slip/Trip/Fall,Critical,During the shift handover the safety guardrail on the second-story mezzanine had been completely removed. I confronted the operator halted work and reminded them of the life-saving protocols.
74F8F209-7,2025-06-03,Server Room,Manufacturing,Fire/Explosion,Critical,"During the shift handover, the emergency fire doors at the end of the hall were chained and padlocked shut. This is an immediate OSHA shutdown violation. I immediately locked out the machine (LOTO) and called the shift supervisor."
2165688E-D,2025-11-15,Rooftop HVAC Unit,Facilities,Slip/Trip/Fall,Critical,"while doing some cleanup, someone left a pallet of heavy materials wedged right in front of the emergency fire exit. someone could have easily lost a limb or worse. i confronted the operator, halted work, and reminded them of the life-saving protocols."
DB5C1B50-1,2026-02-21,R&D Lab,R&D,Chemical/Hazmat,Critical,"During the shift handover, a secondary containment drum was overflowing with an unknown, pungent solvent. This could lead to a severe chemical burn or respiratory damage. Put up red caution tape and logged a high-priority, urgent maintenance ticket."
1CE87D99-B,2026-03-15,Maintenance Shop,Health & Safety (EHS),Minor Slip/Trip,Ordinary,"Just after lunch, an extension cord was temporarily taped across the floor for the vacuum. It's just a minor inconvenience. I just picked it up myself and threw it away."
21D76999-6,2025-09-26,Chemical Storage,Quality Assurance,Electrical,Critical,"At the start of the morning shift, I noticed an exposed frayed wire near the main water line. This is an immediate OSHA shutdown violation. Put up red caution tape and logged a high-priority, urgent maintenance ticket."
9B43AA5D-1,2024-05-09,Assembly Station Alpha,Admin,Minor Slip/Trip,Ordinary,"While unloading the delivery truck, a small piece of packing cardboard was left on the floor near the printers. Annoying squeak, but harmless. I just picked it up myself and threw it away."
6A5CA51B-A,2026-05-13,Production Line 3,R&D,Housekeeping,Ordinary,"While doing some cleanup, the blue recycling bin is full and needs to be emptied."
A9D85482-C,2026-08-06,R&D Lab,Admin,Minor Slip/Trip,Ordinary,"During teh late night shift, a few drops of water were on teh floor near teh breakroom sink."
A4344317-8,2024-07-19,Breakroom,R&D,Minor Maintenance,Ordinary,the yellow paint on the pedestrian walkway lines is starting to fade. I just picked it up myself and threw it away.
74BA7387-F,2025-06-17,Mezzanine Level,Fleet Management,Housekeeping,Ordinary,"At teh start of teh morning shift, muddy footprints were tracked all through teh main visitor lobby. Just wanted to note it for teh next routine maintnance cycle. Left a sticky note on it for teh janitorial staff."
CF7B323F-F,2024-02-24,Breakroom,Fleet Management,Behavioral,Ordinary,"During the shift handover, people were talking quite loudly near the designated quiet zone. Looks a bit untidy and unprofessional. Left a sticky note on it for the janitorial staff."
D72940A4-D,2025-04-10,Hallway C,Sanitation,Housekeeping,Ordinary,"responding to a strange noise, there were a few scattered zip ties left on the floor near the racks. put in a low-priority work order in the system."
79FCC2E6-A,2025-10-26,Welding Bay,Operations,Housekeeping,Ordinary,"while doing some cleanup, someone left their empty coffee cups on the shared workstation. left a sticky note on it for the janitorial staff."
BE1F3E40-2,2024-09-29,Boiler Room,Fleet Management,Minor Slip/Trip,Ordinary,"while doing some cleanup, the welcome floor mat in the hallway was slightly bunched up at the corner. reminded them politely to fix it next time."
797E8836-E,2024-10-07,Hazardous Waste Bay,Human Resources,Uncategorized,Ordinary,"Walking the perimeter, the AC in the admin wing seems to be running a bit warm today. I just picked it up myself and threw it away."
5091105B-D,2024-06-04,Mezzanine Level,Facilities,Housekeeping,Ordinary,"While escorting a contractor, the main trash bin was overflowing with paper towels. No action taken, just reporting it for the record."
D6EF7A58-9,2025-08-10,Warehouse A,Security,Uncategorized,Ordinary,"at the start of the morning shift, the ac in the admin wing seems to be running a bit warm today. purely a cosmetic issue, but worth logging. wiped it up with a paper towel on my way past."
0732A419-9,2024-12-24,Warehouse B,Quality Assurance,Minor Maintenance,Ordinary,"Doing a random spot check, the paint is peeling off the handrail near the back stairs. Flattened the mat out with my foot and kept walking."
F60F8C1A-1,2024-09-04,Server Room,Quality Assurance,Housekeeping,Ordinary,"During my routine walkthrough, tehre was a visible layer of dust buildup on teh ceiling ventilation grate. It's just a minor inconvenience. Flattened teh mat out with my foot and kept walking."
BBD22E69-4,2024-04-29,Hallway C,Health & Safety (EHS),Housekeeping,Ordinary,"While operating the equipment, someone left their empty coffee cups on the shared workstation Not a huge deal but should be fixed when there is time Wiped it up with a paper towel on my way past"
6E0EFC9B-9,2025-10-21,Freight Elevator,Human Resources,Uncategorized,Ordinary,While conducting the monthly audit an employee was walking while texting in the admin corridor Sent a quick email to facilities about it
69AD9960-3,2026-09-20,Paint Shop,Fleet Management,Electrical,Critical,While escorting a contractor water from a leaky roof was dripping directly onto a live uncovered junction box. This is a massive fire hazard waiting to happen. Evacuated the immediate area hit the emergency stop and called security.
EF29581D-3,2026-01-19,Freight Elevator,Sanitation,Housekeeping,Ordinary,"While operating the equipment, someone left their empty coffee cups on the shared workstation. Wiped it up with a paper towel on my way past."
